,id,artist,title,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,spotify-id,track_href,analysis_url,uri
0,1,Kollegah & Farid Bang,One Night Stand,2018,1,1,4,4,0,0,0.762,0.825,6,-4.782,0,0.117,0.0705,0.0,0.167,0.309,108.883,163773,4,7J82QBqJjwbIDtm1Oxc0uo,https://api.spotify.com/v1/tracks/7J82QBqJjwbIDtm1Oxc0uo,https://api.spotify.com/v1/audio-analysis/7J82QBqJjwbIDtm1Oxc0uo,spotify:track:7J82QBqJjwbIDtm1Oxc0uo
1,2,Bausa,FML,2018,1,1,7,7,0,0,0.678,0.57,9,-6.306,1,0.0691,0.0325,0.000309,0.164,0.246,108.589,179718,4,4OwriBNZjK7VtYBxngT3OJ,https://api.spotify.com/v1/tracks/4OwriBNZjK7VtYBxngT3OJ,https://api.spotify.com/v1/audio-analysis/4OwriBNZjK7VtYBxngT3OJ,spotify:track:4OwriBNZjK7VtYBxngT3OJ
2,3,Jazn,Bombay,2018,1,1,9,9,0,0,0.808,0.501,4,-8.76,0,0.189,0.65,0.000167,0.0994,0.422,96.032,193040,4,083GGYAqJqUkRsy8JyLeyG,https://api.spotify.com/v1/tracks/083GGYAqJqUkRsy8JyLeyG,https://api.spotify.com/v1/audio-analysis/083GGYAqJqUkRsy8JyLeyG,spotify:track:083GGYAqJqUkRsy8JyLeyG
3,4,Tom Walker,Leave A Light On,2018,1,1,28,28,0,0,0.586,0.624,5,-5.946,1,0.113,0.0153,1.78e-06,0.133,0.267,68.976,185863,4,6lOWoTqVnAWXchddtTH31W,https://api.spotify.com/v1/tracks/6lOWoTqVnAWXchddtTH31W,https://api.spotify.com/v1/audio-analysis/6lOWoTqVnAWXchddtTH31W,spotify:track:6lOWoTqVnAWXchddtTH31W
4,5,G-Eazy feat. A$AP Rocky & Cardi B,No Limit,2018,1,1,5,5,0,0,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,245387,4,2DQ1ITjI0YoLFzuADN1ZBW,https://api.spotify.com/v1/tracks/2DQ1ITjI0YoLFzuADN1ZBW,https://api.spotify.com/v1/audio-analysis/2DQ1ITjI0YoLFzuADN1ZBW,spotify:track:2DQ1ITjI0YoLFzuADN1ZBW
5,6,Liam Payne & Rita Ora,For You (Fifty Shades Freed),2018,1,2,20,20,0,0,0.541,0.787,2,-4.618,0,0.0331,0.0167,0.0,0.157,0.2,113.0,245453,4,6GKkczxg0QqLUqrhsic1Ut,https://api.spotify.com/v1/tracks/6GKkczxg0QqLUqrhsic1Ut,https://api.spotify.com/v1/audio-analysis/6GKkczxg0QqLUqrhsic1Ut,spotify:track:6GKkczxg0QqLUqrhsic1Ut
6,7,Bruno Mars,Finesse,2018,1,2,12,12,0,0,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,217289,4,3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,spotify:track:3Vo4wInECJQuz9BIBMOu8i
7,8,Justin Timberlake,Filthy,2018,1,2,3,3,0,0,0.745,0.579,1,-5.771,1,0.138,0.0354,0.0118,0.246,0.645,97.002,293947,4,5ZpjODX6OH1xZs3AOewTO6,https://api.spotify.com/v1/tracks/5ZpjODX6OH1xZs3AOewTO6,https://api.spotify.com/v1/audio-analysis/5ZpjODX6OH1xZs3AOewTO6,spotify:track:5ZpjODX6OH1xZs3AOewTO6
8,9,Fard,Die Besten sterben jung,2018,1,2,1,1,0,0,0.449,0.802,1,-5.74,1,0.299,0.193,0.0,0.125,0.587,171.378,205000,4,4IxdQpZQGgxtSnGDw7zBB8,https://api.spotify.com/v1/tracks/4IxdQpZQGgxtSnGDw7zBB8,https://api.spotify.com/v1/audio-analysis/4IxdQpZQGgxtSnGDw7zBB8,spotify:track:4IxdQpZQGgxtSnGDw7zBB8
9,10,Kendrick Lamar & SZA,All The Stars,2018,1,2,14,14,0,0,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4,3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/audio-analysis/3GCdLUSnKSMJhs4Tj6CV3s,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s
