,id,artist,title,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts
0,1,Kollegah & Farid Bang,One Night Stand,2018,1,1,4,4,0,0
1,2,Bausa,FML,2018,1,1,7,7,0,0
2,3,Jazn,Bombay,2018,1,1,9,9,0,0
3,4,Tom Walker,Leave A Light On,2018,1,1,28,28,0,0
4,5,G-Eazy feat. A$AP Rocky & Cardi B,No Limit,2018,1,1,5,5,0,0
5,6,Liam Payne & Rita Ora,For You (Fifty Shades Freed),2018,1,2,20,20,0,0
6,7,Bruno Mars,Finesse,2018,1,2,12,12,0,0
7,8,Justin Timberlake,Filthy,2018,1,2,3,3,0,0
8,9,Fard,Die Besten sterben jung,2018,1,2,1,1,0,0
9,10,Kendrick Lamar & SZA,All The Stars,2018,1,2,14,14,0,0
10,11,Bebe Rexha feat. Florida Georgia Line,Meant To Be,2018,1,2,16,16,0,0
11,12,Keala Settle & The Greatest Showman Ensemble,This Is Me,2018,1,2,7,7,0,0
12,13,Jax Jones feat. Ina Wroldsen,Breathe,2018,1,2,24,24,0,0
13,14,Axwell Λ Ingrosso,Dreamer,2018,1,2,18,18,0,0
14,15,Demi Lovato,Tell Me You Love Me,2018,1,2,1,1,0,0
15,16,Azet,9 Milly,2018,1,3,8,8,0,0
16,17,Fler feat. Farid Bang,AMG,2018,1,3,3,3,0,0
17,18,RIN,Data Love,2018,1,3,3,3,0,0
18,19,Camila Cabello,Never Be The Same,2018,1,3,13,13,0,0
19,20,Troye Sivan,My My My!,2018,1,3,1,1,0,0
20,21,CamelPhat & Elderbrook,Cola,2018,1,3,9,9,0,0
21,22,Drake,God's Plan,2018,1,4,30,30,0,0
22,23,The Chainsmokers,Sick Boy,2018,1,4,20,20,0,0
23,24,Niska,Réseaux,2018,1,4,10,10,0,0
24,25,Eno,Wäwä,2018,1,4,3,3,0,0
