,id,artist,title,label,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts
0,1,Ed Sheeran,Perfect,Atlantic,2018,1,1,62,52,10,0
1,2,Bausa,Was du Liebe nennst,Warner Music Germany,2018,1,1,52,48,4,0
2,3,Camila Cabello feat. Young Thug,Havana,Epic,2018,1,1,32,31,1,0
3,4,Justin Bieber + BloodPop®,Friends,Republic Records,2018,1,1,16,16,0,0
4,5,Eminem feat. Ed Sheeran,River,Universal,2018,1,1,21,21,0,0
5,6,Nico Santos,Rooftop,Virgin Records,2018,1,1,25,24,1,0
6,7,Post Malone feat. 21 Savage,Rockstar,Universal,2018,1,1,28,27,1,0
7,8,G-Eazy & Halsey,Him & I,RCA International,2018,1,1,17,17,0,0
8,9,Ofenbach vs. Nick Waterhouse,Katchi,Warner Music International,2018,1,1,20,20,0,0
9,10,Marshmello feat. Khalid,Silence,RCA International,2018,1,1,15,15,0,0
10,11,NF,Let You Down,Capitol,2018,1,1,15,15,0,0
11,12,Ed Sheeran,Shape Of You,Atlantic,2018,1,1,40,38,2,0
12,13,Zayn feat. Sia,Dusk Till Dawn,RCA International,2018,1,1,15,15,0,0
13,14,Selena Gomez x Marshmello,Wolves,Universal,2018,1,1,15,15,0,0
14,15,Axwell Λ Ingrosso,More Than You Know,Virgin Records,2018,1,1,21,21,0,0
15,16,Portugal. The Man,Feel It Still,Atlantic,2018,1,1,19,19,0,0
16,17,Azet feat. RAF Camora,Qa bone,KMN Gang,2018,1,1,19,19,0,0
17,18,Imagine Dragons,Whatever It Takes,Interscope,2018,1,1,18,18,0,0
18,19,Luis Fonsi feat. Daddy Yankee,Despacito,Universal,2018,1,1,35,34,1,0
19,20,Dua Lipa,New Rules,Universal Domestic Vertigo,2018,1,1,16,16,0,0
20,21,Kay One feat. Pietro Lombardi,Señorita,Princekayone GmbH,2018,1,1,28,28,0,0
21,22,J Balvin & Willy William,Mi gente,B1 Recordings,2018,1,1,23,23,0,0
22,23,Kygo feat. Justin Jesso,Stargazing,B1 Recordings,2018,1,1,12,12,0,0
23,24,Jason Derulo feat. French Montana,Tip Toe,Beluga Heights,2018,1,1,21,21,0,0
24,25,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away,Epic,2018,1,1,20,20,0,0
25,26,Big Shaq,Man's Not Hot,Island,2018,1,1,13,13,0,0
26,27,Luis Fonsi & Demi Lovato,Échame la culpa,Universal,2018,1,1,35,35,0,0
27,28,French Montana feat. Swae Lee,Unforgettable,Epic,2018,1,1,16,16,0,0
28,29,Maroon 5 feat. SZA,What Lovers Do,A&M Records,2018,1,1,9,9,0,0
29,30,RAF Camora,Sag nix,Indipendenza,2018,1,1,13,13,0,0
30,31,Imagine Dragons,Thunder,Interscope,2018,1,1,15,15,0,0
31,32,RAF Camora,Gotham City,Indipendenza,2018,1,1,13,13,0,0
32,33,Rita Ora,Anywhere,Atlantic,2018,1,1,19,19,0,0
33,34,Lauv,I Like Me Better,Lauv,2018,1,1,11,11,0,0
34,35,RAF Camora,Primo,Indipendenza,2018,1,1,19,19,0,0
35,36,P!nk,What About Us,RCA International,2018,1,1,8,8,0,0
36,37,Mark Forster,Kogong,Four Music,2018,1,1,6,6,0,0
37,38,Robin Schulz & Hugel,I Believe I'm Fine,Warner Music Germany,2018,1,1,8,8,0,0
38,39,Avicii feat. Rita Ora,Lonely Together,Virgin Records,2018,1,1,17,17,0,0
39,40,Helene Fischer,Herzbeben,Universal Domestic Polydor,2018,1,1,10,10,0,0
40,41,Rita Ora,Your Song,Atlantic,2018,1,1,7,7,0,0
41,42,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,Atlantic,2018,1,1,13,13,0,0
42,43,"RAF Camora feat. Bonez MC, Gzuz & Ufo361",Waffen,Indipendenza,2018,1,1,9,9,0,0
43,44,Gestört aber GeiL feat. Lea,Wohin willst du,Kontor Records,2018,1,1,13,13,0,0
44,45,The Chainsmokers & Coldplay,Something Just Like This,Columbia,2018,1,1,9,9,0,0
