,id,artist,title,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts,lang,genres,genre,release
0,1,Kollegah & Farid Bang,One Night Stand,2018,1,1,4,4,0,0,de,['german hip hop'],german hip hop,2018-06-29
1,2,Bausa,FML,2018,1,1,7,7,0,0,de,"['german hip hop', 'german pop']",german hip hop,2017-12-29
2,3,Jazn,Bombay,2018,1,1,9,9,0,0,de,"['german hip hop', 'german trap', 'german underground rap']",german hip hop,2018-11-23
3,4,Tom Walker,Leave A Light On,2018,1,1,28,28,0,0,en,"['indie anthem-folk', 'indie cafe pop', 'pop', 'uk pop']",indie anthem-folk,2017-10-13
4,5,G-Eazy feat. A$AP Rocky & Cardi B,No Limit,2018,1,1,5,5,0,0,en,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",hip hop,2017-12-15
5,6,Liam Payne & Rita Ora,For You (Fifty Shades Freed),2018,1,2,20,20,0,0,en,"['dance pop', 'pop', 'post-teen pop']",dance pop,2018-02-09
6,7,Bruno Mars,Finesse,2018,1,2,12,12,0,0,en,"['dance pop', 'pop']",dance pop,2017-12-20
7,8,Justin Timberlake,Filthy,2018,1,2,3,3,0,0,en,"['dance pop', 'pop']",dance pop,2018-02-02
8,9,Fard,Die Besten sterben jung,2018,1,2,1,1,0,0,de,"['deep german hip hop', 'german hip hop']",deep german hip hop,2018-01-05
9,10,Kendrick Lamar & SZA,All The Stars,2018,1,2,14,14,0,0,en,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",conscious hip hop,2018-02-09
10,11,Bebe Rexha feat. Florida Georgia Line,Meant To Be,2018,1,2,16,16,0,0,en,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",dance pop,2017-08-11
11,12,Keala Settle & The Greatest Showman Ensemble,This Is Me,2018,1,2,7,7,0,0,en,"['broadway', 'hollywood', 'show tunes']",broadway,2017-12-08
12,13,Jax Jones feat. Ina Wroldsen,Breathe,2018,1,2,24,24,0,0,en,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house', 'uk dance']",dance pop,2019-07-12
13,14,Axwell Λ Ingrosso,Dreamer,2018,1,2,18,18,0,0,en,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",big room,2017-07-28
14,15,Demi Lovato,Tell Me You Love Me,2018,1,2,1,1,0,0,en,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",dance pop,2017-09-29
