current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Apache 207,Roller,SME - Two Sides,2,1,2019-09-06,2019-09-12,2019,9
2,RIN,Up In Smoke,SME - Division,1,2,2019-09-06,2019-09-12,2019,9
3,Tones And I,Dance Monkey,Bad Batch Records,4,3,2019-09-06,2019-09-12,2019,9
4,Shawn Mendes & Camila Cabello,SeÃ±orita,Island,11,1,2019-09-06,2019-09-12,2019,9
5,RAF Camora,Vendetta,Indipendenza,1,5,2019-09-06,2019-09-12,2019,9
6,Luciano feat. Ufo361 & Lil Baby,Fendi Drip,Universal Domestic Urban,1,6,2019-09-06,2019-09-12,2019,9
7,Capital Bra x Samra,Nummer 1,Universal Domestic Urban,2,1,2019-09-06,2019-09-12,2019,9
8,Loredana feat. Mozzik,Eiskalt,Loredana,5,2,2019-09-06,2019-09-12,2019,9
9,Summer Cem,Primetime,Banger Musik,1,9,2019-09-06,2019-09-12,2019,9
10,DJ Snake & J Balvin feat. Tyga,Loco contigo,Geffen Records,12,3,2019-09-06,2019-09-12,2019,9
11,Ed Sheeran feat. Khalid,Beautiful People,Atlantic,10,5,2019-09-06,2019-09-12,2019,9
12,Miami Yacine,Intro RÃ©sumÃ©,KMN Gang,2,5,2019-09-06,2019-09-12,2019,9
13,Shirin David,Brillis,Juicy Money Records,2,4,2019-09-06,2019-09-12,2019,9
14,Lil Nas X,Old Town Road,SME - Columbia,23,1,2019-09-06,2019-09-12,2019,9
15,Meduza feat. Goodboys,Piece Of Your Heart,Virgin Records,18,4,2019-09-06,2019-09-12,2019,9
16,Sido feat. Samra & Kool Savas,High,Universal Domestic Urban,1,16,2019-09-06,2019-09-12,2019,9
17,Luciano [DE],Yeah,Universal Domestic Urban,3,3,2019-09-06,2019-09-12,2019,9
18,Billie Eilish,Bad Guy,Universal,23,4,2019-09-06,2019-09-12,2019,9
19,Dardan feat. Xiara,Genauso,Universal Domestic Urban,1,19,2019-09-06,2019-09-12,2019,9
20,Capital Bra x Samra,Tilidin,Universal Domestic Urban,11,1,2019-09-06,2019-09-12,2019,9
21,Juju feat. Henning May,Vermissen,Jinx Music,18,1,2019-09-06,2019-09-12,2019,9
22,Ed Sheeran & Justin Bieber,I Don't Care,Atlantic,17,2,2019-09-06,2019-09-12,2019,9
23,18 Karat feat. Nura,Verliebt in einen Gangster 2,Banger Musik,1,23,2019-09-06,2019-09-12,2019,9
24,Vize feat. Laniia,Stars,Kontor Records,11,18,2019-09-06,2019-09-12,2019,9
25,Kygo x Whitney Houston,Higher Love,SME - RCA International,10,22,2019-09-06,2019-09-12,2019,9
26,Younotus & Janieck & Senex,Narcotic,B1 Recordings,13,16,2019-09-06,2019-09-12,2019,9
27,Sarah Connor,Vincent,Universal Domestic Polydor,22,9,2019-09-06,2019-09-12,2019,9
28,LUM!X & Gabry Ponte,Monster,Spinnin' Records,6,20,2019-09-06,2019-09-12,2019,9
29,Loredana,Jetzt rufst du an,Loredana,9,2,2019-09-06,2019-09-12,2019,9
30,Capo,Run Run Run,Warner Music Germany,5,6,2019-09-06,2019-09-12,2019,9
31,Samra & Capital Bra,Wieder Lila,Universal Domestic Urban,16,1,2019-09-06,2019-09-12,2019,9
32,Lena x Nico Santos,Better,Universal Domestic Polydor,3,29,2019-09-06,2019-09-12,2019,9
33,The Chainsmokers & Illenium feat. Lennon Stella,Takeaway,SME - Columbia,6,30,2019-09-06,2019-09-12,2019,9
34,Dimitri Vegas & Like Mike / David Guetta / Daddy Yankee / Afro Bros / Natti Natasha,Instagram,SME - Epic,6,29,2019-09-06,2019-09-12,2019,9
35,Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,31,18,2019-09-06,2019-09-12,2019,9
36,OneRepublic,Rescue Me,Interscope,16,24,2019-09-06,2019-09-12,2019,9
37,Post Malone feat. Young Thug,Goodbyes,Republic Records,9,16,2019-09-06,2019-09-12,2019,9
38,Post Malone,Circles,Republic Records,1,38,2019-09-06,2019-09-12,2019,9
39,Tim Bendzko,Hoch,SME - Jive Germany,3,39,2019-09-06,2019-09-12,2019,9
40,Eren Can & Batu,Junior Neymar,SQP,1,40,2019-09-06,2019-09-12,2019,9
41,Ufo361 feat. RAF Camora,Nummer,Stay High,6,2,2019-09-06,2019-09-12,2019,9
42,Summer Cem feat. Capital Bra,Diamonds,Banger Musik,12,3,2019-09-06,2019-09-12,2019,9
43,Summer Cem feat. KC Rebell,Rollerblades,Banger Musik,4,8,2019-09-06,2019-09-12,2019,9
44,Robin Schulz feat. HarlÅ“,All This Love,Warner Music Germany,17,24,2019-09-06,2019-09-12,2019,9
45,R3hab x A Touch Of Class,All Around The World (La La La),Virgin Records,14,29,2019-09-06,2019-09-12,2019,9
46,Luciano [DE],La haine,Universal Domestic Urban,14,4,2019-09-06,2019-09-12,2019,9
47,Y2K & bbno$,Lalala,SME - Columbia,7,47,2019-09-06,2019-09-12,2019,9
48,Blanco Brown,The Git Up,Broken Bow Records,5,42,2019-09-06,2019-09-12,2019,9
49,"Olexesh, Celo & Abdi",Benzin,385ideal,1,49,2019-09-06,2019-09-12,2019,9
50,Lil Tecca,Ran$om,Republic Records,5,44,2019-09-06,2019-09-12,2019,9
51,Apache 207,Kein Problem,SME - Two Sides,2,51,2019-09-06,2019-09-12,2019,9
52,Luciano [DE],Im Film,Universal Domestic Urban,7,12,2019-09-06,2019-09-12,2019,9
53,Daddy Yankee feat. Snow,Con calma,Universal,29,6,2019-09-06,2019-09-12,2019,9
54,Shirin David feat. MaÃ®tre Gims,On Off,Shirin David Music,10,3,2019-09-06,2019-09-12,2019,9
55,Sam Smith,How Do You Sleep?,Capitol,7,43,2019-09-06,2019-09-12,2019,9
56,Pedro CapÃ³,Calma,Sony Music,14,33,2019-09-06,2019-09-12,2019,9
57,Mero,No Name,Groove Attack TraX,2,17,2019-09-06,2019-09-12,2019,9
58,Mabel [UK],Mad Love,Polydor,10,54,2019-09-06,2019-09-12,2019,9
59,Bausa,Mary,Warner Music Germany,23,8,2019-09-06,2019-09-12,2019,9
60,SDP feat. Capital Bra,Viva la Dealer,Berliner Plattenbau,17,38,2019-09-06,2019-09-12,2019,9
61,Anuel AA / Daddy Yankee / Karol G / Ozuna / J Balvin,China,"2019 Real Hasta La Muerte, LLC.",5,50,2019-09-06,2019-09-12,2019,9
62,Mabel [UK],Don't Call Me Up,Polydor,29,10,2019-09-06,2019-09-12,2019,9
63,Ufo361,04:30,Stay High,2,49,2019-09-06,2019-09-12,2019,9
64,Felix Jaehn feat. Calum Scott,Love On Myself,Virgin Records,4,58,2019-09-06,2019-09-12,2019,9
65,Noah [DE],Kal kal,SQP,2,35,2019-09-06,2019-09-12,2019,9
66,Samra x Capital Bra,Zombie,Universal Domestic Urban,8,1,2019-09-06,2019-09-12,2019,9
67,KC Rebell & RAF Camora,Neptun,Rebell Army,7,2,2019-09-06,2019-09-12,2019,9
68,Sido feat. Monchi,Leben vor dem Tod,Universal Domestic Urban,5,22,2019-09-06,2019-09-12,2019,9
69,Gamper & Dadoni feat. Emily Roberts,Bittersweet Symphony,Big Top Amsterdam,12,53,2019-09-06,2019-09-12,2019,9
70,Kalazh44,Bonbon,Kalazh44,1,70,2019-09-06,2019-09-12,2019,9
71,Ufo361 feat. Data Luv,Shot,Stay High,10,4,2019-09-06,2019-09-12,2019,9
72,Dominic Fike,3 Nights,SME - Columbia,20,36,2019-09-06,2019-09-12,2019,9
73,Lady Gaga & Bradley Cooper,Shallow,Interscope,49,4,2019-09-06,2019-09-12,2019,9
74,Apache 207,2 Minuten,SME - Two Sides,8,35,2019-09-06,2019-09-12,2019,9
75,Vize,Glad You Came,Kontor Records,14,44,2019-09-06,2019-09-12,2019,9
76,Luciano [DE],Millies,Universal Domestic Urban,5,19,2019-09-06,2019-09-12,2019,9
77,Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,57,1,2019-09-06,2019-09-12,2019,9
78,Juju [DE],Hi Babe,Jinx Music,12,12,2019-09-06,2019-09-12,2019,9
79,Adel Tawil feat. Peachy,Tu m'appelles,BMG,11,48,2019-09-06,2019-09-12,2019,9
80,Avicii feat. Aloe Blacc,SOS,Universal,21,8,2019-09-06,2019-09-12,2019,9
81,Data Luv,Now*,Stay High,2,27,2019-09-06,2019-09-12,2019,9
82,Lauv feat. Anne-Marie,"F**k, I'm Lonely",Lauv,2,82,2019-09-06,2019-09-12,2019,9
83,Ariana Grande & Social House,Boyfriend,Republic Records,5,23,2019-09-06,2019-09-12,2019,9
84,Martin Garrix feat. Macklemore & Patrick Stump of Fall Out Boy,Summer Days,SME - Epic,18,24,2019-09-06,2019-09-12,2019,9
85,Marshmello & Kane Brown,One Thing Right,SME - RCA International,6,71,2019-09-06,2019-09-12,2019,9
86,Pietro Lombardi,Macarena,Universal Domestic Polydor,5,3,2019-09-06,2019-09-12,2019,9
87,Apache 207,Brot nach Hause,SME - Two Sides,5,49,2019-09-06,2019-09-12,2019,9
88,Alec Benjamin,Let Me Down Slowly,Atlantic,31,40,2019-09-06,2019-09-12,2019,9
89,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,65,1,2019-09-06,2019-09-12,2019,9
90,Ali Gatie,It's You,Warner Music International,7,72,2019-09-06,2019-09-12,2019,9
91,Summer Cem x Gringo,Yallah Goodbye,Banger Musik,9,5,2019-09-06,2019-09-12,2019,9
92,Taylor Swift,You Need To Calm Down,Republic Records,9,36,2019-09-06,2019-09-12,2019,9
93,Luciano [DE],Im Plus,Universal Domestic Urban,6,12,2019-09-06,2019-09-12,2019,9
94,Ava Max,Sweet But Psycho,Atlantic,45,1,2019-09-06,2019-09-12,2019,9
95,Luciano x Samra,Ya salame,Universal Domestic Urban,7,5,2019-09-06,2019-09-12,2019,9
96,Mero x Brado,OlÃ© OlÃ©,Groove Attack TraX,4,13,2019-09-06,2019-09-12,2019,9
97,"Trettmann, KitschKrieg & Gzuz",Du weiÃŸt,Soulforce/BMG,5,15,2019-09-06,2019-09-12,2019,9
98,Jonas Brothers,Sucker,Jonas Brothers Recording,27,20,2019-09-06,2019-09-12,2019,9
99,Michael Schulte,Back To The Start,Very Us Records,19,33,2019-09-06,2019-09-12,2019,9
100,Miley Cyrus,Slide Away,SME - RCA International,2,67,2019-09-06,2019-09-12,2019,9
